cpu,cpu_speed,mem,mem_speed,gpu,gpu_speed,gpu_type,price,idle,full
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,1,128,1,800,1,MISC,1,18,180
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,2,128,2,800,2,MISC,1,25,250
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,3,128,3,800,3,MISC,1,36,360
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
8000,4,128,4,800,4,MISC,1,57,570
