job_name,submit_time,task_name,instance_num,task_duration,plan_cpu,plan_mem,plan_gpu,gpu_type,communicate_count,communicate_size
job1,0,task1,1,29,300,19,200,V100,1,660
job1,0,task2,1,29,300,19,200,V100,4,23
job1,0,task3,1,27,300,19,200,V100,5,606
job2,1,task4,1,29,1400,13,200,MISC,3,638
job2,1,task5,1,27,1400,13,200,MISC,5,196
job2,1,task6,1,27,1400,13,200,MISC,2,554
job3,1,task7,1,25,800,11,100,MISC,3,333
job3,1,task8,1,22,800,11,100,MISC,1,196
job3,1,task9,1,24,800,11,100,MISC,3,795
job4,2,task10,1,26,1500,23,100,MISC,5,774
job4,2,task11,1,21,1500,23,100,MISC,1,526
job4,2,task12,1,20,1500,23,100,MISC,1,989
job5,2,task13,1,26,1200,5,50,MISC,3,720
job5,2,task14,1,30,1200,5,50,MISC,1,185
job5,2,task15,1,23,1200,5,50,MISC,2,345
job6,2,task16,1,27,1100,2,200,MISC,4,708
job6,2,task17,1,30,1100,2,200,MISC,1,141
job6,2,task18,1,24,1100,2,200,MISC,4,616
job7,2,task19,1,21,900,16,100,MISC,2,248
job7,2,task20,1,27,900,16,100,MISC,2,214
job7,2,task21,1,26,900,16,100,MISC,2,8
job8,2,task22,1,25,500,19,200,P100,1,857
job8,2,task23,1,25,500,19,200,P100,5,942
job8,2,task24,1,23,500,19,200,P100,3,862
job9,2,task25,1,25,700,10,50,MISC,2,350
job9,2,task26,1,30,700,10,50,MISC,2,883
job9,2,task27,1,20,700,10,50,MISC,3,688
job10,3,task28,1,25,200,13,150,V100,5,940
job10,3,task29,1,30,200,13,150,V100,2,383
job10,3,task30,1,28,200,13,150,V100,2,783
job11,4,task31,1,24,1600,13,150,P100,1,33
job11,4,task32,1,30,1600,13,150,P100,4,323
job11,4,task33,1,20,1600,13,150,P100,3,271
job12,5,task34,1,26,1600,9,50,P100,3,902
job12,5,task35,1,24,1600,9,50,P100,5,633
job12,5,task36,1,22,1600,9,50,P100,4,163
job13,5,task37,1,30,1400,3,100,MISC,1,766
job13,5,task38,1,25,1400,3,100,MISC,5,767
job13,5,task39,1,24,1400,3,100,MISC,2,1008
job14,5,task40,1,29,400,13,100,T4,3,479
job14,5,task41,1,26,400,13,100,T4,4,106
job14,5,task42,1,28,400,13,100,T4,3,602
job15,6,task43,1,21,1300,7,100,MISC,1,984
job15,6,task44,1,29,1300,7,100,MISC,5,956
job15,6,task45,1,30,1300,7,100,MISC,5,422
job16,6,task46,1,20,500,5,50,T4,3,258
job16,6,task47,1,25,500,5,50,T4,5,717
job16,6,task48,1,28,500,5,50,T4,4,18
job17,6,task49,1,27,1000,19,200,MISC,3,715
job17,6,task50,1,27,1000,19,200,MISC,1,597
job17,6,task51,1,27,1000,19,200,MISC,4,580
job18,6,task52,1,26,1000,16,50,MISC,3,127
job18,6,task53,1,30,1000,16,50,MISC,1,490
job18,6,task54,1,27,1000,16,50,MISC,4,1021
job19,7,task55,1,29,600,16,50,MISC,2,254
job19,7,task56,1,25,600,16,50,MISC,5,190
job19,7,task57,1,26,600,16,50,MISC,1,88
job20,7,task58,1,29,1400,8,150,MISC,4,847
job20,7,task59,1,23,1400,8,150,MISC,2,90
job20,7,task60,1,26,1400,8,150,MISC,2,384
job21,7,task61,1,24,1600,22,100,V100,5,680
job21,7,task62,1,30,1600,22,100,V100,3,230
job21,7,task63,1,26,1600,22,100,V100,3,234
job22,7,task64,1,20,100,31,150,T4,2,362
job22,7,task65,1,26,100,31,150,T4,5,1024
job22,7,task66,1,21,100,31,150,T4,1,860
job23,7,task67,1,28,1000,10,100,T4,1,637
job23,7,task68,1,30,1000,10,100,T4,5,864
job23,7,task69,1,23,1000,10,100,T4,4,632
job24,7,task70,1,27,300,32,100,MISC,1,820
job24,7,task71,1,27,300,32,100,MISC,2,16
job24,7,task72,1,29,300,32,100,MISC,1,600
job25,7,task73,1,30,300,31,50,MISC,1,1007
job25,7,task74,1,23,300,31,50,MISC,4,1022
job25,7,task75,1,22,300,31,50,MISC,1,217
job26,8,task76,1,26,1200,13,100,P100,1,486
job26,8,task77,1,20,1200,13,100,P100,3,738
job26,8,task78,1,23,1200,13,100,P100,2,547
job27,8,task79,1,28,600,7,100,MISC,1,97
job27,8,task80,1,20,600,7,100,MISC,2,145
job27,8,task81,1,26,600,7,100,MISC,1,742
job28,8,task82,1,22,1300,21,50,MISC,5,1010
job28,8,task83,1,24,1300,21,50,MISC,1,684
job28,8,task84,1,26,1300,21,50,MISC,1,280
job29,8,task85,1,25,100,27,50,MISC,3,436
job29,8,task86,1,26,100,27,50,MISC,3,484
job29,8,task87,1,22,100,27,50,MISC,3,814
job30,9,task88,1,29,500,28,100,MISC,2,740
job30,9,task89,1,24,500,28,100,MISC,4,123
job30,9,task90,1,28,500,28,100,MISC,2,692
job31,9,task91,1,22,1000,14,200,MISC,3,776
job31,9,task92,1,23,1000,14,200,MISC,3,998
job31,9,task93,1,22,1000,14,200,MISC,3,173
job32,9,task94,1,22,400,9,200,T4,5,428
job32,9,task95,1,28,400,9,200,T4,5,791
job32,9,task96,1,23,400,9,200,T4,5,746
job33,9,task97,1,30,200,15,50,T4,5,870
job33,9,task98,1,30,200,15,50,T4,5,804
job33,9,task99,1,21,200,15,50,T4,1,251
job34,9,task100,1,27,1300,7,150,MISC,2,661
job34,9,task101,1,22,1300,7,150,MISC,4,43
job34,9,task102,1,27,1300,7,150,MISC,2,523
job35,10,task103,1,21,1200,7,100,MISC,3,473
job35,10,task104,1,23,1200,7,100,MISC,1,254
job35,10,task105,1,22,1200,7,100,MISC,3,521
job36,10,task106,1,26,600,30,200,T4,4,185
job36,10,task107,1,29,600,30,200,T4,3,757
job36,10,task108,1,27,600,30,200,T4,3,440
job37,10,task109,1,30,300,20,150,P100,1,631
job37,10,task110,1,21,300,20,150,P100,4,800
job37,10,task111,1,24,300,20,150,P100,5,23
job38,10,task112,1,25,1600,7,100,MISC,5,443
job38,10,task113,1,29,1600,7,100,MISC,1,12
job38,10,task114,1,22,1600,7,100,MISC,1,287
job39,12,task115,1,22,800,19,200,MISC,4,593
job39,12,task116,1,25,800,19,200,MISC,1,756
job39,12,task117,1,21,800,19,200,MISC,3,781
job40,14,task118,1,21,100,27,200,P100,5,578
job40,14,task119,1,29,100,27,200,P100,3,129
job40,14,task120,1,22,100,27,200,P100,1,695
job41,15,task121,1,25,900,23,50,T4,5,15
job41,15,task122,1,21,900,23,50,T4,4,841
